chainId,dexId,baseToken,pairAddress,liquidity,ccxt_ticker
arbitrum,0x8374A74A728f06bEa6B7259C68AA7BBB732bfeaD,WETH,0x0BB5A573886bbcecf18590b6Cb59E980FAC7d278,"{""usd"":1016641.5213289598,""base"":406.21,""quote"":508321}",ETH
arbitrum,sushiswap,lqETH,0xB6a0ad0f714352830467725e619ea23E2C488f37,"{""usd"":635887.7332621957,""base"":256.41,""quote"":254.41}",ETH
polygon,quickswap,BUSD,0x7A602815908E1615393148a7880A7Fc9e57949aE,"{""usd"":2004085.997764,""base"":1004114,""quote"":1002043}",BUSD
polygon,0xBE087BeD88539d28664c9998FE3f180ea7b9749C,pBTC,0xDb0194372AceCAcD58F43D59b8a07B68Ff2Fe5e2,"{""usd"":59558.451588,""base"":1.78,""quote"":29779}",BTC
bitgert,icecreamswap,BNBi,0xd37e73B7337B89Ccc52A182Ad9130405dEA731B1,"{""usd"":149677,""base"":287.4,""quote"":255587230869}",BNB
polygon,dfyn,WMATIC,0x4f5dF10B9991482bCD2DB19DAE1FD0e0184397c2,"{""usd"":255081.371596,""base"":164158,""quote"":127541}",MATIC
bsc,biswap,LINK,0x16Fe21c91c426E603977b1C6EcD59Fc510a518C2,"{""usd"":1972873.834127104,""base"":176076,""quote"":3854.77}",LINK
bsc,biswap,ATOM,0x5a36E9659F94F27e4526DDf6Dd8f0c3B3386D7F3,"{""usd"":396702.28854677326,""base"":19884,""quote"":775.32}",ATOM
bsc,mdex,UNI,0x72F1d53B2E4bDE565fE54AF13697857e71193dDf,"{""usd"":1126750.6823921744,""base"":105964,""quote"":563375}",UNI
polygon,uniswap,agEUR,0x3Fa147D6309abeb5C1316f7d8a7d8bD023e0cd80,"{""usd"":618433,""base"":391127,""quote"":206954}",EUR
polygon,balancer,BAL,0x0297e37f1873d2dab4487aa67cd56b58e2f27875000100000000000000000002-0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174-0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3,"{""usd"":1240798,""base"":117522,""quote"":620401}",BAL
velas,wagyuswap,ETH,0x7c3F1eA99770aa23Fe1b19097c93BB0cF34C8351,"{""usd"":193732,""base"":78.29,""quote"":4611152}",ETH
celo,sushiswap,WETH,0x93887e0fA9F6C375b2765a6fE885593F16f077f9,"{""usd"":97627.94211684809,""base"":39.17,""quote"":48814}",ETH
bsc,biswap,DOGE,0x1eF315fa08e0E1B116D97E3dFE0aF292Ed8b7f02,"{""usd"":836117.1418276847,""base"":5911798,""quote"":1633.43}",DOGE
optimism,velodrome,rETH,0x69F795e2d9249021798645d784229e5bec2a5a25,"{""usd"":1598784.8890268106,""base"":334.93,""quote"":637.07}",ETH
fantom,beethovenx,LINK,0xdf02adb3cd587da89af29e58de70b840e49490250001000000000000000005b8-0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83-0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,"{""usd"":64656,""base"":5543,""quote"":141797}",LINK
fantom,beethovenx,BTC,0xdf02adb3cd587da89af29e58de70b840e49490250001000000000000000005b8-0x321162Cd933E2Be498Cd2267a90534A804051b11-0x74b23882a30290451A17c44f4F05243b6b58C76d,"{""usd"":152303,""base"":4.735,""quote"":56.97}",BTC
